,Player,Player-additional,Season,wOBA,rRE24_wOBA
0,Álex Rodríguez,rodrial01,2007,0.4445939741750359,19.044943556384496
1,Albert Pujols,pujolal01,2009,0.44716615853658537,13.94842284969512
2,Miguel Cabrera,cabremi01,2013,0.45504265402843597,7.518862879620869
3,Bryce Harper,harpebr03,2015,0.4611830985915493,3.9076175999999947
4,Ryan Howard,howarry01,2006,0.43622638680659676,15.610131280659644
5,Albert Pujols,pujolal01,2008,0.45883855024711695,2.710282373970344
6,Mike Trout,troutmi01,2013,0.4227450424929178,20.68304942946179
7,Albert Pujols,pujolal01,2006,0.4471287128712871,7.3771519207920875
8,Chris Davis,davisch02,2013,0.4206036308623298,19.564112003933417
9,Prince Fielder,fieldpr01,2009,0.42211174785100286,18.48980225730658
10,Lance Berkman,berkmla01,2006,0.42619391025641024,16.22804096634617
11,Miguel Cabrera,cabremi01,2011,0.4374054054054054,10.220425556756766
12,Joey Votto,vottojo01,2010,0.4378078125,9.089154968437498
13,Magglio Ordóñez,ordonma01,2007,0.4381014925373134,8.112266022686569
14,Paul Goldschmidt,goldspa01,2013,0.40380000000000005,24.17872691999996
15,Matt Kemp,kempma01,2011,0.4130436090225564,18.815382423458658
16,José Bautista,bautijo02,2011,0.4425483359746434,3.9881034599049343
17,Joey Votto,vottojo01,2015,0.4269323529411765,10.78869659941175
18,Mike Trout,troutmi01,2014,0.40239341917024324,22.782251671244623
19,Ryan Braun,braunry02,2011,0.42608931419457735,10.720356422966503
20,David Ortiz,ortizda01,2007,0.4492717557251909,-1.5747265370992665
21,Freddie Freeman,freemfr01,2013,0.3872019386106624,29.100522851696283
22,Joey Votto,vottojo01,2011,0.40558380681818185,19.316526328693172
23,Miguel Cabrera,cabremi01,2006,0.41549460708782743,14.279475054545458
24,Carlos Beltrán,beltrca01,2006,0.4079426229508196,17.58672528360657
25,Manny Ramírez,ramirma02,2008,0.4320571428571429,5.185447851428535
26,Prince Fielder,fieldpr01,2011,0.40978636363636356,15.904547773636402
27,Miguel Cabrera,cabremi01,2010,0.43111525974025977,4.1765463275973715
28,Lance Berkman,berkmla01,2008,0.41685162287480676,10.880741082225683
29,Travis Hafner,hafnetr01,2006,0.4499798903107861,-6.888911805118838
