Rk,I,Split,Year,G,RBI,GS,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
31,,Batting 4th,2007,5842,3406,4862,21536,18831,2896,5336,1110,60,879,179,67,2265,3618,.283,.363,.489,.852,9203,527,212,11,215,310,166,.306,,
32,,Batting 4th,2006,5929,3367,4858,21416,18477,3046,5224,1082,51,956,173,73,2487,3666,.283,.371,.502,.873,9276,521,233,17,199,312,164,.304,,
33,,Batting 4th,2008,5654,3278,4856,21384,18832,2891,5273,1123,72,849,184,77,2143,3696,.280,.357,.483,.840,9087,511,221,4,182,278,189,.306,,
34,,Batting 4th,2009,5643,3212,4860,21310,18743,2746,5104,1061,58,863,231,91,2164,3908,.272,.350,.473,.824,8870,468,189,18,192,233,201,.299,,
35,,Batting 3rd,2006,5589,3179,4858,21957,19199,3123,5453,1143,78,844,294,75,2331,3381,.284,.364,.484,.848,9284,532,201,25,199,270,182,.304,,
36,,Batting 3rd,2007,5478,3133,4862,22012,19213,3050,5529,1207,102,752,343,91,2349,3572,.288,.368,.479,.847,9196,537,216,28,202,254,184,.317,,
37,,Batting 5th,2006,5854,3094,4858,20923,18573,2660,5208,1164,80,776,161,91,1933,3499,.280,.351,.477,.828,8860,495,196,27,190,172,188,.306,,
38,,Batting 4th,2012,5741,3013,4860,21001,18664,2623,5097,1051,60,815,188,78,1931,3939,.273,.345,.467,.812,8713,472,221,5,180,195,194,.304,,
39,,Batting 4th,2010,5697,2985,4860,21182,18682,2674,5020,1069,56,802,153,91,2083,3845,.269,.346,.461,.806,8607,460,214,9,192,228,185,.296,,
40,,Batting 3rd,2009,5461,2983,4860,21794,19040,2914,5338,1140,90,787,310,79,2327,3579,.280,.362,.474,.835,9019,497,204,24,196,243,194,.306,,
41,,Batting 4th,2011,5600,2963,4858,21143,18640,2530,4978,1017,61,742,226,99,2082,3834,.267,.344,.448,.791,8343,463,200,16,200,261,183,.297,,
42,,Batting 4th,2015,5770,2949,4858,20957,18702,2549,5015,998,78,801,179,78,1888,4074,.268,.338,.458,.796,8572,505,175,8,176,177,188,.301,,
43,,Batting 3rd,2008,5455,2937,4856,21867,19198,2950,5450,1178,79,705,337,99,2237,3466,.284,.361,.464,.825,8901,535,205,20,202,227,190,.312,,
44,,Batting 4th,2013,5608,2901,4862,21097,18839,2485,5060,999,60,772,181,66,1882,4286,.269,.338,.451,.789,8495,436,183,6,183,173,163,.307,,
45,,Batting 3rd,2010,5389,2886,4860,21679,19003,2843,5331,1114,81,709,369,115,2295,3640,.281,.360,.460,.820,8734,542,175,26,177,222,194,.312,,
46,,Batting 3rd,2012,5384,2852,4860,21503,18987,2839,5199,1035,95,790,404,132,2148,4040,.274,.350,.463,.813,8794,473,174,15,177,236,161,.308,,
47,,Batting 5th,2008,5824,2831,4856,20882,18544,2536,4865,1059,92,730,200,85,1946,3776,.262,.335,.447,.783,8298,469,186,26,180,161,157,.291,,
48,,Batting 3rd,2011,5482,2815,4858,21635,19081,2718,5271,1072,89,712,357,118,2132,3787,.276,.352,.454,.805,8657,469,196,19,203,232,204,.308,,
49,,Batting 5th,2007,5943,2815,4862,20998,18724,2609,5047,1101,82,651,191,83,1855,3614,.270,.339,.441,.781,8265,467,210,27,179,140,172,.300,,
50,,Batting 3rd,2014,5506,2794,4860,21489,19016,2643,5246,1146,69,675,258,90,2028,3831,.276,.350,.450,.800,8555,490,236,14,191,217,191,.311,,
51,,Batting 3rd,2015,5491,2760,4858,21435,18898,2723,5203,1069,86,753,291,84,2125,3918,.275,.352,.461,.812,8703,568,206,8,194,219,169,.309,,
52,,Batting 4th,2014,5586,2726,4860,20999,18690,2337,4792,937,56,680,151,51,1942,4258,.256,.329,.422,.751,7881,468,177,8,182,191,160,.295,,
53,,Batting 5th,2009,5723,2703,4860,20834,18490,2530,4898,998,72,706,220,119,1955,3902,.265,.339,.441,.780,8158,459,192,32,162,135,162,.298,,
54,,Batting 5th,2012,5765,2702,4860,20532,18513,2393,4805,1001,78,701,214,98,1659,4051,.260,.322,.436,.758,8065,471,143,32,180,106,179,.294,,
55,,Batting 3rd,2013,5401,2699,4862,21574,18996,2682,5193,1035,82,695,331,93,2227,3866,.273,.352,.446,.798,8477,543,172,17,160,215,175,.308,,
56,,Batting 5th,2010,5775,2696,4860,20654,18381,2492,4865,1029,93,663,194,101,1876,4038,.265,.336,.439,.775,8069,451,190,27,175,144,175,.303,,
57,,Batting 5th,2015,5987,2566,4858,20472,18598,2260,4751,980,76,683,151,106,1504,4261,.255,.315,.426,.742,7932,454,187,20,160,106,167,.294,,
58,,Batting 6th,2006,5997,2541,4858,20401,18451,2388,4937,1001,102,653,211,126,1550,3560,.268,.330,.439,.769,8101,502,221,49,130,143,179,.298,,
59,,Batting 5th,2011,5890,2530,4858,20624,18533,2384,4832,1078,74,611,236,105,1746,3874,.261,.328,.426,.754,7891,476,172,31,138,148,175,.298,,
60,,Batting 6th,2007,6007,2530,4862,20509,18390,2400,5043,1056,90,614,198,99,1740,3540,.274,.341,.442,.782,8121,532,187,46,141,138,186,.308,,
61,,Batting 6th,2008,5939,2459,4856,20365,18212,2318,4792,1014,83,618,189,91,1748,3789,.263,.332,.430,.762,7826,444,211,47,146,134,195,.299,,
62,,Batting 5th,2013,5713,2425,4862,20603,18551,2264,4766,1003,65,617,199,88,1698,4249,.257,.323,.418,.741,7750,466,179,28,145,132,150,.300,,
63,,Batting 6th,2009,5836,2423,4860,20332,18150,2361,4754,984,103,656,235,105,1857,3745,.262,.334,.436,.770,7912,488,167,46,112,124,156,.296,,
64,,Batting 5th,2014,5785,2421,4860,20529,18592,2218,4784,971,94,580,217,109,1550,4264,.257,.318,.413,.732,7683,458,193,32,162,111,169,.302,,
65,,Batting 7th,2007,6066,2404,4862,19939,18010,2142,4787,1003,81,506,177,85,1511,3451,.266,.326,.415,.741,7470,465,172,78,165,118,167,.301,,
66,,Batting 6th,2010,5936,2376,4860,20113,18063,2132,4670,970,80,587,241,102,1656,3907,.259,.324,.419,.743,7561,481,175,62,155,140,165,.298,,
67,,Batting 7th,2006,5940,2366,4858,19838,18001,2176,4808,992,89,567,206,108,1367,3392,.267,.323,.427,.749,7679,449,185,128,155,116,218,.299,,
68,,Batting 2nd,2009,5517,2330,4860,22328,19933,2987,5478,1060,165,481,479,163,1770,3331,.275,.337,.417,.754,8311,466,199,252,173,36,225,.307,,
69,,Batting 7th,2009,5912,2321,4860,19790,17786,2091,4553,925,90,526,225,89,1579,3633,.256,.320,.407,.727,7236,451,176,88,160,102,165,.292,,
70,,Batting 2nd,2006,5585,2297,4858,22480,20134,3146,5728,1079,152,481,439,158,1732,3140,.284,.345,.425,.770,8554,447,200,271,141,31,224,.315,,
71,,Batting 2nd,2007,5585,2291,4862,22511,20186,3132,5650,1150,149,462,503,162,1744,3266,.280,.341,.420,.762,8484,433,206,241,131,27,234,.313,,
