Rk,Player,Age,Team,Lg,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Pos,Awards,Player-additional
1,David Wright,26,NYM,NL,618,.380,129,.394,.140,1.6,22.7,12.0,25.7,40.1,28.2,0.67,23.6,53.1,23.3,3.4,1.8%,33.51,33.8,75.0,41.4,*5/H,AS,wrighda03
2,Ichiro Suzuki*,35,SEA,AL,678,.371,127,.384,.113,1.6,10.5,4.7,18.9,54.6,19.8,1.25,21.0,61.6,17.3,3.7,1.0%,22.92,30.8,74.3,38.0,*9/D,ASMVP-9GGSS,suzukic01
3,Hanley Ramírez,25,FLA,NL,652,.421,154,.379,.201,3.7,15.5,9.4,22.5,38.9,28.5,0.64,24.3,58.0,17.7,3.5,2.3%,48.31,31.7,77.1,43.3,*6/H,ASMVP-2SS,ramirha01
4,Joe Mauer*,26,MIN,AL,606,.441,175,.373,.222,4.6,10.4,12.5,20.9,48.6,28.8,0.95,18.5,57.0,24.5,3.8,2.6%,56.18,27.4,80.0,37.7,*2D/H,ASMVP-1GGSS,mauerjo01
5,Joey Votto*,25,CIN,NL,544,.431,165,.372,.245,4.6,19.5,12.9,24.7,39.0,33.0,0.64,21.8,60.9,17.4,6.1,2.6%,51.19,28.5,80.0,49.2,*3/H,MVP-22,vottojo01
6,Shin-Soo Choo*,26,CLE,AL,685,.394,139,.370,.189,2.9,22.0,11.4,21.4,43.5,30.8,0.78,26.0,55.4,18.7,2.1,0.5%,30.15,26.8,91.3,40.8,*97D/H8,,choosh01
7,Derek Jeter,35,NYY,AL,716,.398,132,.368,.131,2.5,12.6,10.1,21.1,56.8,20.0,1.36,15.3,63.0,21.7,1.4,0.4%,20.38,32.8,85.7,38.4,*6/DH,ASMVP-3GGSS,jeterde01
8,Michael Bourn*,26,HOU,NL,678,.352,100,.366,.099,0.4,20.6,9.3,17.1,53.5,19.2,1.39,18.8,59.2,22.0,1.2,0.4%,13.24,40.0,83.6,53.4,*8/H,GG,bournmi01
9,Chris Coghlan*,24,FLA,NL,565,.380,126,.365,.139,1.6,13.6,9.4,23.2,47.8,23.0,0.95,23.4,58.5,18.1,1.6,0.6%,22.87,35.7,61.5,45.2,*7/H4,MVP-28ROY-1,coghlch01
10,Jason Bartlett,29,TBR,AL,567,.396,137,.364,.170,2.5,15.7,9.5,27.4,33.9,28.9,0.53,32.9,53.5,13.6,2.2,1.7%,29.68,37.1,81.1,40.9,*6/D,AS,bartlja01
11,Justin Upton,21,ARI,NL,588,.393,129,.360,.232,4.4,23.3,9.4,17.3,44.9,28.7,0.84,21.7,62.4,15.9,2.3,0.7%,28.78,30.7,80.0,50.0,*9/HD,ASMVP-25,uptonju01
12,Asdrúbal Cabrera#,23,CLE,AL,581,.371,124,.360,.130,1.0,15.3,7.6,20.4,46.8,25.5,0.96,26.6,58.4,15.0,2.1,0.9%,27.03,37.5,81.0,45.2,64/H,,cabreas01
13,Kevin Youkilis,30,BOS,AL,588,.420,151,.359,.242,4.6,21.3,13.1,21.4,34.6,40.0,0.53,31.4,53.5,15.1,2.6,2.1%,43.59,33.3,77.8,44.8,35/7H,ASMVP-6,youklke01
14,Felipe López#,29,2TM,NL,680,.368,119,.358,.118,1.3,14.7,10.4,21.9,52.1,23.3,1.09,22.6,60.4,17.0,0.4,-0.1%,22.10,31.5,50.0,36.8,*4/HD,,lopezfe01
